[2025-08-28 12:41:14,303] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:48:onMessage] received msg size=14
[2025-08-28 12:41:14,303] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-28 12:41:14,305] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:79:doTaskThread] Query result sent to client
[2025-08-28 12:41:14,305] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=394
[2025-08-28 12:41:22,966] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:60:onClose] 127.0.0.1:8888->127.0.0.1:50442 has closed.
[2025-08-28 12:41:22,966] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:247:handleMessage] connection closed fd=8
[2025-08-28 12:41:24,766] [WARN] : [/home/zhang/SearchEngine/src/main.cpp:13:signalHandler] Caught signal 2, stopping server...
[2025-08-28 12:41:24,767] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:33:stop] SearchEngineServer stop ...
[2025-08-28 14:31:58,221] [INFO] : [/home/zhang/SearchEngine/src/main.cpp:31:main] Starting SearchEngineServer on 127.0.0.1:8888
[2025-08-28 14:31:58,221] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:25:start] SearchEngineServer start ...
[2025-08-28 14:31:59,480] [INFO] : [/home/zhang/SearchEngine/src/Acceptor.cpp:48:accept] new connection fd=8
[2025-08-28 14:31:59,480] [INFO] : [/home/zhang/SearchEngine/src/EventLoop.cpp:213:handleNewConnection] Accepted new connection fd=8
[2025-08-28 14:31:59,480] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:39:onConnection] 127.0.0.1:8888->127.0.0.1:52216 has connected.
[2025-08-28 14:32:03,200] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=6
[2025-08-28 14:32:03,200] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:48:onMessage] received msg size=14
[2025-08-28 14:32:03,200] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-28 14:32:03,203] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:79:doTaskThread] Query result sent to client
[2025-08-28 14:32:03,203] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=392
[2025-08-28 14:34:06,492] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=6
[2025-08-28 14:34:06,492] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:48:onMessage] received msg size=14
[2025-08-28 14:34:06,492] [DEBUG] : [/home/zhang/SearchEngine/src/EventLoop.cpp:252:handleMessage] message from fd=8
[2025-08-28 14:34:06,502] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:79:doTaskThread] Query result sent to client
[2025-08-28 14:34:06,502] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:101:send] send success size=1799
[2025-08-28 14:34:32,386] [DEBUG] : [/home/zhang/SearchEngine/src/TcpConnection.cpp:84:receive] Received packet length=6
[2025-08-28 14:34:32,387] [INFO] : [/home/zhang/SearchEngine/src/SearchEngineServer.cpp:48:onMessage] received msg size=14
